minimum_nights,number_of_reviews,calculated_host_listings_count,availability_365,room_type_n,price
0.20000000000000004,0.18803418803418806,0.0,0.0027397260273972603,0.5,295
0.1,0.03418803418803419,0.0,0.0,0.0,70
0.1,0.0,0.4,0.0,0.0,58
0.20000000000000004,1.0,0.0,0.7315068493150685,0.5,75
0.4,0.22222222222222224,0.0,0.0,0.0,38
1.0,0.05128205128205129,1.0,0.7397260273972602,0.5,100
0.6000000000000001,0.017094017094017096,0.0,0.1178082191780822,0.5,260
0.0,0.7179487179487181,0.0,0.010958904109589041,0.5,147
0.0,0.0,0.0,0.0,0.0,34
0.0,0.0,0.0,0.0,0.0,65
1.0,0.10256410256410257,1.0,0.410958904109589,0.5,125
1.0,0.0,1.0,0.9260273972602739,0.5,310
0.0,0.0,1.0,0.9013698630136986,0.0,50
0.0,0.06837606837606838,0.0,0.0,0.0,79
1.0,0.017094017094017096,0.4,0.1726027397260274,0.5,329
0.0,0.0,0.4,0.4657534246575343,0.0,115
0.20000000000000004,0.05128205128205129,0.0,0.0,0.5,140
0.20000000000000004,1.0,0.4,0.30684931506849317,0.5,225
0.0,0.0,1.0,0.7698630136986302,0.0,149
0.1,0.11965811965811968,0.0,0.33972602739726027,0.0,50
1.0,0.0,1.0,0.9972602739726028,0.0,88
0.1,0.017094017094017096,0.0,0.0,0.5,200
1.0,0.06837606837606838,0.0,0.0,0.5,160
0.1,0.8717948717948719,0.0,0.24383561643835616,0.5,125
0.30000000000000004,0.23931623931623935,0.8000000000000002,0.0,0.0,75
0.1,0.08547008547008547,0.0,0.15616438356164383,0.0,80
0.1,0.017094017094017096,0.0,0.0,0.5,140
0.1,0.25641025641025644,0.0,0.11232876712328767,0.5,134
0.9,0.017094017094017096,0.0,0.0,0.0,65
1.0,0.11965811965811968,1.0,0.8958904109589041,0.5,159
0.1,0.27350427350427353,0.0,0.14246575342465753,0.5,300
0.0,0.0,0.0,0.4931506849315069,0.0,95
1.0,0.0,0.0,0.0,0.0,70
0.1,0.9914529914529916,1.0,0.5452054794520548,0.5,248
0.0,0.017094017094017096,1.0,0.9972602739726028,0.5,750
0.1,0.05128205128205129,0.0,0.0,0.0,90
1.0,0.08547008547008547,1.0,0.4410958904109589,0.5,80
0.6000000000000001,0.0,0.0,0.18356164383561643,0.5,85
0.20000000000000004,0.05128205128205129,0.0,0.0,0.0,50
0.1,0.06837606837606838,0.0,0.0,0.5,295
1.0,0.0,0.0,0.0,0.0,80
0.20000000000000004,0.0,0.0,0.0,0.0,109
0.20000000000000004,0.27350427350427353,0.0,0.0,0.0,100
0.1,0.46153846153846156,0.0,0.9287671232876712,0.0,45
0.20000000000000004,0.6495726495726496,0.0,0.6657534246575343,0.5,135
0.30000000000000004,0.15384615384615385,0.8000000000000002,0.33972602739726027,0.5,115
0.4,0.11965811965811968,0.0,0.9342465753424658,0.0,185
